Link,Location,Comments,District,Assigned,Latitude,Longitude
https://www.buloke.vic.gov.au/heat-wave,Buloke Shire,,Mallee District,Paldeep,-35.8464,143.052
https://www.gannawarra.vic.gov.au/files/assets/public/document-resources/strategies-and-plans/website-gannawarra-heat-health-management-plan-2017.pdf,Gannawarra Shire,,,,-35.7321,143.8532
https://www.mildura.vic.gov.au/Services/Emergency-Management/Heatwave,Mildura Rural City,,,,-34.2,142.15
https://www.swanhill.vic.gov.au/wp-content/uploads/2014/01/2Swan-Hill-Heatwave-Response-Sub-Plan-Final.pdf,Swan Hill Rural City,Plan is quite old,,,-35.3378,143.5544
https://yarriambiack.vic.gov.au/wp-content/uploads/Heatwave_Plan_2019.pdf,Yarriambiack Shire (north of netting fence),,,,-36.0262,142.4045
https://www.hindmarsh.vic.gov.au/preparing-for-an-emergency,Hindmarsh Shire,,Wimmera District,,-36.0329,141.7328
https://www.hrcc.vic.gov.au/Emergency-Management/Heatwave,Horsham Rural City,,,,-36.7167,142.2
https://www.ngshire.vic.gov.au/Emergency-Management/Heatwave,Northern Grampians Shire,,,,-36.8496,142.873
https://www.westwimmera.vic.gov.au/Residents-Property/Emergency/Preparing-for-an-emergency#section-5,West Wimmera Shire,Second link is a general public health plan but very few specific details regarding heat,,,-36.5992,141.4004
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwi_g4flzrXrAhWzyDgGHcpcCTIQFjABegQIBBAB&url=https%3A%2F%2Fwww.westwimmera.vic.gov.au%2Ffiles%2Fassets%2Fpublic%2Fdocuments-amp-publications%2Fplans-amp-strategies%2Fmunicipal-health-and-wellbeing-plan-2017-21.pdf&usg=AOvVaw19nof_uU5-_VGwyPJnmIh2,,,,,,
https://yarriambiack.vic.gov.au/wp-content/uploads/Heatwave_Plan_2019.pdf,Yarriambiack Shire (south of netting fence),Same as north,,,-36.0262,142.4045
https://www.ararat.vic.gov.au/sites/default/files/document/2017%20Municipal%20Emergency%20Management%20Plan_0.pdf,Ararat Rural City,Link to plan requires registering,South West District,,-37.2833,142.9333
https://www.colacotway.vic.gov.au/Council-the-shire/Reports-strategies-plans/Strategies-plans#section-9,Colac Otway Shire,,,,-38.4387,143.5967
https://www.corangamite.vic.gov.au/Community/Public-Health-and-Wellbeing/Heatwave,Corangamite Shire,,,,-38.216,143.2354
https://www.glenelg.vic.gov.au/Heatwaves,Glenelg Shire,,,,-37.8908,141.4424
http://www.moyne.vic.gov.au/Emergencies/Heat,Moyne Shire,,,,-38.1879,142.4622
https://www.pyrenees.vic.gov.au/Emergencies/Useful-links-and-documents,Pyrenees Shire,,,,-37.3276,143.3647
http://www.sthgrampians.vic.gov.au/Page/Page.aspx?Page_Id=2786,Southern Grampians Shire,,,,-37.5299,142.0253
http://www.sthgrampians.vic.gov.au/Page/Page.aspx?Page_id=3140,,,,,,
https://www.warrnambool.vic.gov.au/heatwave,Warrnambool City,,,,-38.3833,142.4833
https://www.campaspe.vic.gov.au/Our-services/Emergency-management/Emergency-management-planning,Campaspe Shire,,Northern Country District,,-36.3234,144.7084
https://www.bendigo.vic.gov.au/About/Document-Library/heatwave-action-plan,Greater Bendigo City,,,,-36.7228,144.4397
https://www.bendigo.vic.gov.au/About/Document-Library/public-nvemc-integrated-heatwave-plan-oct-2019-pdf,,,,,,
https://greatershepparton.com.au/community/emergencies/heatwave,Greater Shepparton City,,,,-36.4274,145.4152
https://www.loddon.vic.gov.au/Our-Services/Health-and-wellbeing/Staying-healthy-in-heat,Loddon Shire,,,,-36.4041,143.8296
https://www.moira.vic.gov.au/Community/Emergency-Management/Heatwave,Moira Shire,,,,-36.0506,145.5381
https://www.strathbogie.vic.gov.au/council/emergency-management/heatwave,Strathbogie Shire,,,,-36.85,145.75
https://www.centralgoldfields.vic.gov.au/Property/Fire-and-emergencies/Planning-for-an-Emergency,Central Goldfields Shire,,North Central District,Pedro,-36.9789,143.7386
,Lake Mountain Alpine Resort (Unincorporated),,,,,
https://www.mitchellshire.vic.gov.au/services/fire-and-other-emergencies/heat-and-fire/heat-health,Mitchell Shire,,,,-37.1754,144.98
https://www.mountalexander.vic.gov.au/Heatwave,Mount Alexander Shire,,,,-37.0761,144.1882
https://www.murrindindi.vic.gov.au/Your-Council/Emergency-Management/Heat-Health-Information,Murrindindi Shire,,,,-37.3667,145.5333
https://www.murrindindi.vic.gov.au/Our-Community/Heatwaves,,,,,,
https://www.alpineshire.vic.gov.au/council/fire-flood-and-emergencies/before,Alpine Shire,,North East District,,-36.8341,146.9794
https://www.benalla.vic.gov.au/Your-Community/Seniors/Seasonal-Weather-Safety/Keep-Cool-in-Summer,Benalla Rural City,Couldn't find a heatwave plan but second link is a climate adaption plan that mentions extreme heat,,,-36.5904,146.0281
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiC5rGe07XrAhVZzTgGHW03B0cQFjABegQIBBAB&url=https%3A%2F%2Fwww.benalla.vic.gov.au%2Ffiles%2Fassets%2Fpublic%2Fall-pdfs%2Finformation-final-climate-chanage-adaptation-action-plan-final-15112012.pdf&usg=AOvVaw3hkiqh-rvCOrYd_WuzLT7Z,,,,,,
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiAt4Lj07XrAhVtwzgGHV_dD8AQFjAJegQIAxAB&url=https%3A%2F%2Fwww.fallscreek.com.au%2Fwp-content%2Fuploads%2Fsites%2F36%2F2017%2F02%2FFalls-Creek-Municipal-Emergency-Management-Plan.pdf&usg=AOvVaw0N_SUHdgUlfrvguHIirVfD,Falls Creek Alpine Resort (unincorprated),,,,,
https://www.indigoshire.vic.gov.au/About-your-Council/Council-documents/Plans-and-strategies/Heatwave-Plan,Indigo shire,,,,-36.2085,146.6863
https://www.mansfield.vic.gov.au/residents/community/emergency-management/emergency-management-overview,Mansfield Shire,,,,-37.05,146.0833
,Mount Buller Alpine Resort (unincorporated),,,,,
,Mount Hotham Alpinbe Resort (unincorporated),,,,,
,Mount Stirling Alpine Resort (unincorporated),,,,,
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjxgcWa1LXrAhV6yDgGHb1fCRcQFjAAegQIAxAB&url=https%3A%2F%2Ftowong.vic.gov.au%2Ffacilities-services%2Fcommunity-health%2Femergency-management%2Fimages%2FEmergency-Brochure_v4.pdf&usg=AOvVaw3Cu2O-JOJt8VvfBHFMxnOe,Towong Shire,,,,-36.3659,147.6272
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjxgcWa1LXrAhV6yDgGHb1fCRcQFjABegQIARAB&url=https%3A%2F%2Fwww.towong.vic.gov.au%2Ffacilities-services%2Fcommunity-health%2Femergency-management%2FA-Guide-To-Heatwave.asp&usg=AOvVaw0wk7dpd1YwvqT9-PZcWQY8,,,,,,
https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjxgcWa1LXrAhV6yDgGHb1fCRcQFjACegQIAhAB&url=https%3A%2F%2Fwww.towong.vic.gov.au%2Ffacilities-services%2Fcommunity-health%2Femergency-management%2Fimages%2FMEMP-abridged.pdf&usg=AOvVaw0PCxb-lWcG4RwZNx5GbB3a,,,,,,
https://www.wangaratta.vic.gov.au/emergency/heatwave#836311-free-water-drinking-facilities-in-wangaratta,Wangaratta Rural City,,,,-36.3667,146.3333
https://www.wodonga.vic.gov.au/Services/Safety-Health-and-Wellbeing/Emergency-management,Wodonga City,,,,-36.1167,146.8833
https://www.eastgippsland.vic.gov.au/Community/Emergency_Management/Heatwave,East Gippsland Shire,,East Gippsland District,,-37.3456,148.5829
https://www.bawbawshire.vic.gov.au/Resident-Information/Public-Health-Services/Heatwaves,Baw Baw Shire,,West & South Gippsland District,,-37.97,146.144
https://www.latrobe.vic.gov.au/Community/Emergencies/Emergency_Management,Latrobe City,,,,-38.2538,146.4612
,Mount Baw Baw Alpine Resort (unincorporated),,,,-38.2551,144.6726
https://www.southgippsland.vic.gov.au/downloads/file/104/south_gippsland_extreme_temperature_sub-plan,South Gippsland Shire,,,,-38.699,146.067
https://www.wellington.vic.gov.au/category/public-health,Wellington shire,,,,-35.35,139.3833
