Victorian Electorates by Locality and Postcode,,,,,,,,,,
Count of Electors and Properties (households) for State Enrolled Electors ONLY as at 27 Mar 2020,,,,,,,,,,
Locality Name,"Post
Code","Municipality
Name","Ward
Name",LGA,"District
Name","District
Code","Region
Name","Region
Code","Property
Count","Elector
Count"
Abbeyard,3737,Alpine Shire Council,Unsubdivided,52201,Ovens Valley,65,Northern Victoria,4,2,1
Abbotsford,3067,Yarra City Council,Langridge,51301,Richmond,70,Northern Metropolitan,3,4722,6083
Aberfeldie,3040,Moonee Valley City Council,Buckley,55601,Niddrie,62,Western Metropolitan,7,1584,3023
Aberfeldy,3825,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2,3,2
Acheron,3714,Murrindindi Shire Council,Eildon,53003,Eildon,24,Northern Victoria,4,32,56
Acheron,3714,Murrindindi Shire Council,Koriella,53006,Eildon,24,Northern Victoria,4,55,68
Adams Estate,3984,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2,38,55
Addington,3352,Ballarat City Council,North,50302,Ripon,72,Western Victoria,8,30,56
Adelaide Lead,3465,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,72,Western Victoria,8,36,62
Agnes,3962,South Gippsland Shire Council,Coastal-Promontory,53801,Gippsland South,36,Eastern Victoria,2,36,53
Aintree,3336,Melton City Council,Cambridge,55401,Kororoit,42,Western Metropolitan,7,1175,1907
Aireys Inlet,3231,Surf Coast Shire Council,Anglesea,50101,Polwarth,67,Western Victoria,8,720,708
Airly,3851,Wellington Shire Council,Central,53901,Gippsland East,35,Eastern Victoria,2,51,101
Airport West,3042,Moonee Valley City Council,Rose Hill,55603,Niddrie,62,Western Metropolitan,7,3721,5902
Albanvale,3021,Brimbank City Council,Grasslands,54201,Kororoit,42,Western Metropolitan,7,1940,3616
Albert Park,3206,Port Phillip City Council,Gateway,51102,Albert Park,1,Southern Metropolitan,6,26,37
Albert Park,3206,Port Phillip City Council,Lake,51103,Albert Park,1,Southern Metropolitan,6,3301,4902
Alberton,3971,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2,157,222
Alberton West,3971,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2,44,66
Albion,3020,Brimbank City Council,Harvester,54202,St Albans,78,Western Metropolitan,7,2258,2664
Alexandra,3714,Murrindindi Shire Council,Koriella,53006,Eildon,24,Northern Victoria,4,28,51
Alexandra,3714,Murrindindi Shire Council,Red Gate,53007,Eildon,24,Northern Victoria,4,1384,2077
Alfredton,3350,Ballarat City Council,Central,50301,Wendouree,84,Western Victoria,8,1009,1582
Alfredton,3350,Ballarat City Council,North,50302,Wendouree,84,Western Victoria,8,2952,5432
Allambee,3823,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2,23,42
Allambee Reserve,3871,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2,20,21
Allambee Reserve,3871,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,36,Eastern Victoria,2,5,7
Allambee South,3871,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,36,Eastern Victoria,2,30,59
