Suburb,Council,Post Code,District,Latitude,Longitude,State
Abbeyard,Alpine Shire,3737,North East District,-36.8341,146.9794,Victoria
Abbotsford,Yarra City,3067,Central District,-37.8049,145.0034,Victoria
Aberfeldie,Moonee Valley City,3040,Central District,-37.7494,144.8933,Victoria
Aberfeldy,Baw Baw Shire,3825,West & South Gippsland District,-37.97,146.144,Victoria
Acheron,Murrindindi Shire,3714,North Central District,-37.3667,145.5333,Victoria
Adams Estate,Bass Coast Shire,3984,Central District,-38.4851,145.5639,Victoria
Addington,Ballarat City,3352,Central District,-37.5662,143.8496,Victoria
Adelaide Lead,Central Goldfields Shire,3465,North Central District,-36.9789,143.7386,Victoria
Agnes,South Gippsland Shire,3962,West & South Gippsland District,-38.699,146.067,Victoria
Aintree,Melton City,3336,Central District,-37.6833,144.5833,Victoria
Aireys Inlet,Surf Coast Shire,3231,Central District,-38.34,144.1153,Victoria
Airly,Wellington Shire,3851,West & South Gippsland District,-35.35,139.3833,Victoria
Airport West,Moonee Valley City,3042,Central District,-37.7494,144.8933,Victoria
Albanvale,Brimbank City,3021,Central District,-37.7429,144.8164,Victoria
Albert Park,Port Phillip City,3206,Central District,-37.8587,144.9615,Victoria
Alberton,Wellington Shire,3971,West & South Gippsland District,-35.35,139.3833,Victoria
Alberton West,Wellington Shire,3971,West & South Gippsland District,-35.35,139.3833,Victoria
Albion,Brimbank City,3020,Central District,-37.7429,144.8164,Victoria
Alexandra,Murrindindi Shire,3714,North Central District,-37.3667,145.5333,Victoria
Alfredton,Ballarat City,3350,Central District,-37.5662,143.8496,Victoria
Allambee,Baw Baw Shire,3823,West & South Gippsland District,-37.97,146.144,Victoria
Allambee Reserve,Baw Baw Shire,3871,West & South Gippsland District,-37.97,146.144,Victoria
Allambee Reserve,South Gippsland Shire,3871,West & South Gippsland District,-38.699,146.067,Victoria
Allambee South,South Gippsland Shire,3871,West & South Gippsland District,-38.699,146.067,Victoria
Allans Flat,Indigo Shire,3691,North East District,-36.2085,146.6863,Victoria
Allansford,Moyne Shire,3277,South West District,-38.1879,142.4622,Victoria
Allansford,Warrnambool City,3277,South West District,-38.3833,142.4833,Victoria
Allendale,Hepburn Shire,3364,Central District,-37.3167,144.1333,Victoria
Allestree,Glenelg Shire,3305,South West District,-37.8908,141.4424,Victoria
Alma,Central Goldfields Shire,3465,North Central District,-36.9789,143.7386,Victoria
Almonds,Moira Shire,3727,Northern Country District,-36.0506,145.5381,Victoria
Almurta,Bass Coast Shire,3979,Central District,-38.4851,145.5639,Victoria
Alphington,Darebin City,3078,Central District,-37.7667,145.05,Victoria
Alphington,Yarra City,3078,Central District,-37.8049,145.0034,Victoria
Altona,Hobsons Bay City,3018,Central District,-37.8569,144.8335,Victoria
Altona Meadows,Hobsons Bay City,3028,Central District,-37.8569,144.8335,Victoria
Altona North,Hobsons Bay City,3025,Central District,-37.8569,144.8335,Victoria
Alvie,Colac Otway Shire,3249,South West District,-38.4387,143.5967,Victoria
Amherst,Central Goldfields Shire,3371,North Central District,-36.9789,143.7386,Victoria
Amor,Baw Baw Shire,3825,West & South Gippsland District,-37.97,146.144,Victoria
Amphitheatre,Pyrenees Shire,3468,South West District,-37.3276,143.3647,Victoria
Anakie,Golden Plains Shire,3213,Central District,-37.8523,143.8635,Victoria
Anakie,Greater Geelong City,3213,Central District,-38.0518,144.4614,Victoria
Ancona,Mansfield Shire,3715,North East District,-37.05,146.0833,Victoria
Anderson,Bass Coast Shire,3995,Central District,-38.4851,145.5639,Victoria
Anglers Rest,East Gippsland Shire,3898,East Gippsland District,-37.3456,148.5829,Victoria
Anglesea,Surf Coast Shire,3230,Central District,-38.34,144.1153,Victoria
Annuello,Swan Hill Rural City,3549,Mallee District,-35.3378,143.5544,Victoria
Antwerp,Hindmarsh Shire,3414,Wimmera District,-36.0329,141.7328,Victoria
Apollo Bay,Colac Otway Shire,3233,South West District,-38.4387,143.5967,Victoria
Appin,Gannawarra Shire,3579,Mallee District,-35.7321,143.8532,Victoria
Appin South,Gannawarra Shire,3579,Mallee District,-35.7321,143.8532,Victoria
Appin South,Loddon Shire,3579,Northern Country District,-36.4041,143.8296,Victoria
Apsley,West Wimmera Shire,3319,Wimmera District,-36.5992,141.4004,Victoria
Arapiles,Horsham Rural City,3409,Wimmera District,-36.7167,142.2,Victoria
Ararat,Ararat Rural City,3377,South West District,-37.2833,142.9333,Victoria
Arawata,South Gippsland Shire,3951,West & South Gippsland District,-38.699,146.067,Victoria
Arcadia,Greater Shepparton City,3631,Northern Country District,-36.4274,145.4152,Victoria
Arcadia South,Strathbogie Shire,3631,Northern Country District,-36.85,145.75,Victoria
Archdale,Central Goldfields Shire,3475,North Central District,-36.9789,143.7386,Victoria
Archdale,Northern Grampians Shire,3475,Wimmera District,-36.8496,142.873,Victoria
Archdale Junction,Central Goldfields Shire,3475,North Central District,-36.9789,143.7386,Victoria
Archerton,Wangaratta Rural City,3723,North East District,-36.3667,146.3333,Victoria
Archerton,Benalla Rural City,3723,North East District,-36.5904,146.0281,Victoria
Archies Creek,Bass Coast Shire,3995,Central District,-38.4851,145.5639,Victoria
Ardeer,Brimbank City,3022,Central District,-37.7429,144.8164,Victoria
Ardmona,Greater Shepparton City,3629,Northern Country District,-36.4274,145.4152,Victoria
Areegra,Yarriambiack Shire (South Of Netting Fence),3480,Wimmera District,-36.0262,142.4045,Victoria
Argyle,Greater Bendigo City,3523,Northern Country District,-36.7228,144.4397,Victoria
Armadale,Stonnington City,3143,Central District,-37.8613,145.0378,Victoria
Armstrong,Ararat Rural City,3377,South West District,-37.2833,142.9333,Victoria
Armstrong Creek,Greater Geelong City,3217,Central District,-38.0518,144.4614,Victoria
Arnold,Loddon Shire,3551,Northern Country District,-36.4041,143.8296,Victoria
Arnold West,Loddon Shire,3551,Northern Country District,-36.4041,143.8296,Victoria
Arthurs Creek,Nillumbik Shire,3099,Central District,-37.6147,145.2171,Victoria
Arthurs Seat,Mornington Peninsula Shire,3936,Central District,-38.3327,144.9566,Victoria
Ascot,Ballarat City,3364,Central District,-37.5662,143.8496,Victoria
Ascot,Greater Bendigo City,3551,Northern Country District,-36.7228,144.4397,Victoria
Ascot Vale,Moonee Valley City,3032,Central District,-37.7494,144.8933,Victoria
Ashbourne,Macedon Ranges Shire,3442,Central District,-37.3334,144.6158,Victoria
Ashburton,Boroondara City,3147,Central District,-37.8264,145.053,Victoria
Ashwood,Monash City,3147,Central District,-37.8968,145.1471,Victoria
Aspendale,Kingston City,3195,Central District,-38.0045,145.0953,Victoria
Aspendale Gardens,Kingston City,3195,Central District,-38.0045,145.0953,Victoria
Athlone,Baw Baw Shire,3818,West & South Gippsland District,-37.97,146.144,Victoria
Attwood,Hume City,3049,Central District,-37.5972,144.8051,Victoria
Aubrey,Yarriambiack Shire (South Of Netting Fence),3393,Wimmera District,-36.0262,142.4045,Victoria
Auchmore,Loddon Shire,3570,Northern Country District,-36.4041,143.8296,Victoria
Avalon,Greater Geelong City,3212,Central District,-38.0518,144.4614,Victoria
Avenel,Strathbogie Shire,3664,Northern Country District,-36.85,145.75,Victoria
Avenel,Mitchell Shire,3664,North Central District,-37.1754,144.98,Victoria
Avoca,Pyrenees Shire,3467,South West District,-37.3276,143.3647,Victoria
Avon Plains,Northern Grampians Shire,3477,Wimmera District,-36.8496,142.873,Victoria
Avondale Heights,Moonee Valley City,3034,Central District,-37.7494,144.8933,Victoria
Avonmore,Greater Bendigo City,3559,Northern Country District,-36.7228,144.4397,Victoria
Avonsleigh,Cardinia Shire,3782,Central District,-38.15,145.4167,Victoria
Axe Creek,Greater Bendigo City,3551,Northern Country District,-36.7228,144.4397,Victoria
Axedale,Greater Bendigo City,3551,Northern Country District,-36.7228,144.4397,Victoria
Ayrford,Corangamite Shire,3268,South West District,-38.216,143.2354,Victoria
Ayrford,Moyne Shire,3268,South West District,-38.1879,142.4622,Victoria
Bacchus Marsh,Moorabool Shire,3340,Central District,-38.0833,144.3,Victoria
Baddaginnie,Strathbogie Shire,3670,Northern Country District,-36.85,145.75,Victoria
Baddaginnie,Benalla Rural City,3670,North East District,-36.5904,146.0281,Victoria
Badger Creek,Yarra Ranges Shire,3777,Central District,-37.7501,145.7371,Victoria
Bael Bael,Gannawarra Shire,3579,Mallee District,-35.7321,143.8532,Victoria
Bagshot,Greater Bendigo City,3551,Northern Country District,-36.7228,144.4397,Victoria
Bagshot North,Greater Bendigo City,3551,Northern Country District,-36.7228,144.4397,Victoria
Bahgallah,Glenelg Shire,3312,South West District,-37.8908,141.4424,Victoria
Bailieston,Strathbogie Shire,3608,Northern Country District,-36.85,145.75,Victoria
Bairnsdale,East Gippsland Shire,3875,East Gippsland District,-37.3456,148.5829,Victoria
Bakery Hill,Ballarat City,3350,Central District,-37.5662,143.8496,Victoria
Balaclava,Port Phillip City,3183,Central District,-37.8587,144.9615,Victoria
Bald Hills,Hepburn Shire,3364,Central District,-37.3167,144.1333,Victoria
Bald Hills,Ballarat City,3364,Central District,-37.5662,143.8496,Victoria
Balintore,Colac Otway Shire,3249,South West District,-38.4387,143.5967,Victoria
Ballan,Moorabool Shire,3342,Central District,-38.0833,144.3,Victoria
Ballangeich,Moyne Shire,3279,South West District,-38.1879,142.4622,Victoria
Ballapur,Buloke Shire,3483,Mallee District,-35.8464,143.05200000000002,Victoria
Ballarat Central,Ballarat City,3350,Central District,-37.5662,143.8496,Victoria
Ballarat East,Ballarat City,3350,Central District,-37.5662,143.8496,Victoria
Ballarat North,Ballarat City,3350,Central District,-37.5662,143.8496,Victoria
Ballendella,Campaspe Shire,3561,Northern Country District,-36.3234,144.7084,Victoria
Balliang,Moorabool Shire,3340,Central District,-38.0833,144.3,Victoria
Balliang,Greater Geelong City,3340,Central District,-38.0518,144.4614,Victoria
Balliang East,Moorabool Shire,3340,Central District,-38.0833,144.3,Victoria
Ballyrogan,Ararat Rural City,3375,South West District,-37.2833,142.9333,Victoria
Balmattum,Strathbogie Shire,3666,Northern Country District,-36.85,145.75,Victoria
Balmoral,Southern Grampians Shire,3407,South West District,-37.5299,142.0253,Victoria
Balnarring,Mornington Peninsula Shire,3926,Central District,-38.3327,144.9566,Victoria
Balnarring Beach,Mornington Peninsula Shire,3926,Central District,-38.3327,144.9566,Victoria
Balook,Wellington Shire,3971,West & South Gippsland District,-35.35,139.3833,Victoria
Balwyn,Boroondara City,3103,Central District,-37.8264,145.053,Victoria
Balwyn,Boroondara City,3103,Central District,-37.8264,145.053,Victoria
Balwyn North,Whitehorse City,3104,Central District,-37.8287,145.1543,Victoria
Balwyn North,Boroondara City,3104,Central District,-37.8264,145.053,Victoria
Balwyn North,Whitehorse City,3104,Central District,-37.8287,145.1543,Victoria
Bamawm,Campaspe Shire,3561,Northern Country District,-36.3234,144.7084,Victoria
Bamawm Extension,Campaspe Shire,3564,Northern Country District,-36.3234,144.7084,Victoria
Bambra,Surf Coast Shire,3241,Central District,-38.34,144.1153,Victoria
Bamganie,Golden Plains Shire,3333,Central District,-37.8523,143.8635,Victoria
Bandiana,Wodonga City,3691,North East District,-36.1167,146.8833,Victoria
Bangerang,Yarriambiack Shire (South Of Netting Fence),3393,Wimmera District,-36.0262,142.4045,Victoria
Bangholme,Greater Dandenong City,3175,Central District,-38.0011,145.1907,Victoria
Banksia Peninsula,East Gippsland Shire,3875,East Gippsland District,-37.3456,148.5829,Victoria
