District,Council,Latitude,Longitude
1,Alpine Shire,-36.8341,146.9794
2,Yarra City,-37.8049,145.0034
2,Moonee Valley City,-37.7494,144.8933
3,Baw Baw Shire,-37.97,146.144
4,Murrindindi Shire,-37.3667,145.5333
2,Bass Coast Shire,-38.4851,145.5639
2,Ballarat City,-37.5662,143.8496
4,Central Goldfields Shire,-36.9789,143.7386
3,South Gippsland Shire,-38.699,146.067
2,Melton City,-37.6833,144.5833
2,Surf Coast Shire,-38.34,144.1153
3,Wellington Shire,-35.35,139.3833
2,Brimbank City,-37.7429,144.8164
2,Port Phillip City,-37.8587,144.9615
1,Indigo Shire,-36.2085,146.6863
5,Moyne Shire,-38.1879,142.4622
5,Warrnambool City,-38.3833,142.4833
2,Hepburn Shire,-37.3167,144.1333
5,Glenelg Shire,-37.8908,141.4424
6,Moira Shire,-36.0506,145.5381
2,Darebin City,-37.7667,145.05
2,Hobsons Bay City,-37.8569,144.8335
5,Colac Otway Shire,-38.4387,143.5967
5,Pyrenees Shire,-37.3276,143.3647
2,Golden Plains Shire,-37.8523,143.8635
2,Greater Geelong City,-38.0518,144.4614
1,Mansfield Shire,-37.05,146.0833
7,East Gippsland Shire,-37.3456,148.5829
8,Swan Hill Rural City,-35.3378,143.5544
9,Hindmarsh Shire,-36.0329,141.7328
8,Gannawarra Shire,-35.7321,143.8532
6,Loddon Shire,-36.4041,143.8296
9,West Wimmera Shire,-36.5992,141.4004
9,Horsham Rural City,-36.7167,142.2
5,Ararat Rural City,-37.2833,142.9333
6,Greater Shepparton City,-36.4274,145.4152
6,Strathbogie Shire,-36.85,145.75
9,Northern Grampians Shire,-36.8496,142.873
1,Wangaratta Rural City,-36.3667,146.3333
1,Benalla Rural City,-36.5904,146.0281
9,Yarriambiack Shire (South Of Netting Fence),-36.0262,142.4045
6,Greater Bendigo City,-36.7228,144.4397
2,Stonnington City,-37.8613,145.0378
2,Nillumbik Shire,-37.6147,145.2171
2,Mornington Peninsula Shire,-38.3327,144.9566
2,Macedon Ranges Shire,-37.3334,144.6158
2,Boroondara City,-37.8264,145.053
2,Monash City,-37.8968,145.1471
2,Kingston City,-38.0045,145.0953
2,Hume City,-37.5972,144.8051
4,Mitchell Shire,-37.1754,144.98
2,Cardinia Shire,-38.15,145.4167
5,Corangamite Shire,-38.216,143.2354
2,Moorabool Shire,-38.0833,144.3
2,Yarra Ranges Shire,-37.7501,145.7371
8,Buloke Shire,-35.8464,143.05200000000002
6,Campaspe Shire,-36.3234,144.7084
5,Southern Grampians Shire,-37.5299,142.0253
2,Whitehorse City,-37.8287,145.1543
1,Wodonga City,-36.1167,146.8833
2,Greater Dandenong City,-38.0011,145.1907
4,Mount Alexander Shire,-37.0761,144.1882
2,Knox City,-37.8989,145.2692
2,Maroondah City,-37.8029,145.266
2,Casey City,-38.0952,145.3228
2,Bayside City,-37.9399,145.0193
1,Towong Shire,-36.3659,147.6272
2,Banyule City,-37.7339,145.0858
2,Glen Eira City,-37.8995,145.041
8,Yarriambiack Shire (North Of Netting Fence),-36.0262,142.4045
2,Whittlesea City,-37.5167,145.1167
8,Mildura Rural City,-34.2,142.15
3,Latrobe City,-38.2538,146.4612
2,Maribyrnong City,-37.7833,144.8833
2,Moreland City,-37.7356,144.9375
2,Manningham City,-37.7571,145.1805
2,Melbourne City,-37.814,144.9633
2,Frankston City,-38.1333,145.1167
2,Wyndham City,-37.8928,144.6357
2,Queenscliffe Borough,-38.2551,144.6726
