Council,Suburb,Post Code
1,Abbeyard,3737
2,Abbotsford,3067
3,Aberfeldie,3040
4,Aberfeldy,3825
5,Acheron,3714
6,Adams Estate,3984
7,Addington,3352
8,Adelaide Lead,3465
9,Agnes,3962
10,Aintree,3336
11,Aireys Inlet,3231
12,Airly,3851
3,Airport West,3042
13,Albanvale,3021
14,Albert Park,3206
12,Alberton,3971
12,Alberton West,3971
13,Albion,3020
5,Alexandra,3714
7,Alfredton,3350
4,Allambee,3823
4,Allambee Reserve,3871
9,Allambee Reserve,3871
9,Allambee South,3871
15,Allans Flat,3691
16,Allansford,3277
17,Allansford,3277
18,Allendale,3364
19,Allestree,3305
8,Alma,3465
20,Almonds,3727
6,Almurta,3979
21,Alphington,3078
2,Alphington,3078
22,Altona,3018
22,Altona Meadows,3028
22,Altona North,3025
23,Alvie,3249
8,Amherst,3371
4,Amor,3825
24,Amphitheatre,3468
25,Anakie,3213
26,Anakie,3213
27,Ancona,3715
6,Anderson,3995
28,Anglers Rest,3898
11,Anglesea,3230
29,Annuello,3549
30,Antwerp,3414
23,Apollo Bay,3233
31,Appin,3579
31,Appin South,3579
32,Appin South,3579
33,Apsley,3319
34,Arapiles,3409
35,Ararat,3377
9,Arawata,3951
36,Arcadia,3631
37,Arcadia South,3631
8,Archdale,3475
38,Archdale,3475
8,Archdale Junction,3475
39,Archerton,3723
40,Archerton,3723
6,Archies Creek,3995
13,Ardeer,3022
36,Ardmona,3629
41,Areegra,3480
42,Argyle,3523
43,Armadale,3143
35,Armstrong,3377
26,Armstrong Creek,3217
32,Arnold,3551
32,Arnold West,3551
44,Arthurs Creek,3099
45,Arthurs Seat,3936
7,Ascot,3364
42,Ascot,3551
3,Ascot Vale,3032
46,Ashbourne,3442
47,Ashburton,3147
48,Ashwood,3147
49,Aspendale,3195
49,Aspendale Gardens,3195
4,Athlone,3818
50,Attwood,3049
41,Aubrey,3393
32,Auchmore,3570
26,Avalon,3212
37,Avenel,3664
51,Avenel,3664
24,Avoca,3467
38,Avon Plains,3477
3,Avondale Heights,3034
42,Avonmore,3559
52,Avonsleigh,3782
42,Axe Creek,3551
42,Axedale,3551
53,Ayrford,3268
16,Ayrford,3268
54,Bacchus Marsh,3340
37,Baddaginnie,3670
40,Baddaginnie,3670
55,Badger Creek,3777
31,Bael Bael,3579
42,Bagshot,3551
42,Bagshot North,3551
19,Bahgallah,3312
37,Bailieston,3608
28,Bairnsdale,3875
7,Bakery Hill,3350
14,Balaclava,3183
18,Bald Hills,3364
7,Bald Hills,3364
23,Balintore,3249
54,Ballan,3342
16,Ballangeich,3279
56,Ballapur,3483
7,Ballarat Central,3350
7,Ballarat East,3350
7,Ballarat North,3350
57,Ballendella,3561
54,Balliang,3340
26,Balliang,3340
54,Balliang East,3340
35,Ballyrogan,3375
37,Balmattum,3666
58,Balmoral,3407
45,Balnarring,3926
45,Balnarring Beach,3926
12,Balook,3971
47,Balwyn,3103
59,Balwyn North,3104
47,Balwyn North,3104
57,Bamawm,3561
57,Bamawm Extension,3564
11,Bambra,3241
25,Bamganie,3333
60,Bandiana,3691
41,Bangerang,3393
61,Bangholme,3175
28,Banksia Peninsula,3875
29,Bannerton,3549
25,Bannockburn,3331
56,Banyan,3485
38,Banyena,3388
60,Baranduda,3691
62,Barfold,3444
62,Baringhup,3463
62,Baringhup West,3463
27,Barjarg,3723
62,Barkers Creek,3451
24,Barkly,3384
38,Barkly,3384
54,Barkstead,3364
20,Barmah,3639
42,Barnadown,3557
15,Barnawartha,3688
60,Barnawartha North,3691
9,Baromi,3871
23,Barongarook,3249
23,Barongarook West,3249
11,Barrabool,3221
56,Barrakee,3525
23,Barramunga,3249
32,Barraport,3537
32,Barraport West,3537
54,Barrys Reef,3458
25,Barunah Park,3329
23,Barunah Plains,3329
1,Barwidgee,3737
27,Barwite,3722
23,Barwon Downs,3243
26,Barwon Heads,3227
18,Basalt,3460
6,Bass,3991
25,Batesford,3213
26,Batesford,3213
20,Bathumi,3730
45,Baxter,3911
35,Bayindeen,3375
52,Bayles,3981
46,Baynton,3444
46,Baynton East,3444
63,Bayswater,3153
64,Bayswater North,3153
52,Beaconsfield,3807
65,Beaconsfield,3807
52,Beaconsfield Upper,3808
8,Bealiba,3475
20,Bearii,3641
32,Bears Lagoon,3517
31,Beauchamp,3579
29,Beauchamp,3579
24,Beaufort,3373
66,Beaumaris,3193
38,Beazleys Bridge,3477
23,Beeac,3251
23,Beech Forest,3237
15,Beechworth,3747
55,Beenak,3139
55,Belgrave,3160
55,Belgrave Heights,3160
55,Belgrave South,3160
26,Bell Park,3215
26,Bell Post Hill,3215
26,Bellarine,3223
28,Bellbird Creek,3889
11,Bellbrae,3228
67,Bellbridge,3691
38,Bellellen,3381
68,Bellfield,3081
11,Bells Beach,3228
26,Belmont,3216
28,Bemm River,3889
9,Bena,3946
40,Benalla,3672
28,Benambra,3900
33,Benayeo,3319
44,Bend Of Islands,3097
42,Bendigo,3550
28,Bendoc,3888
28,Bengworden,3875
31,Benjeroop,3579
46,Benloch,3435
9,Bennison,3960
69,Bentleigh,3204
69,Bentleigh East,3165
11,Benwerrin,3235
54,Beremboke,3342
32,Berrimal,3518
25,Berringa,3351
67,Berringama,3691
56,Berriwillock,3531
53,Berrybank,3323
9,Berrys Creek,3953
65,Berwick,3806
16,Bessiebelle,3304
8,Bet Bet,3472
28,Bete Bolong,3888
28,Bete Bolong North,3888
67,Bethanga,3691
8,Betley,3472
70,Beulah,3395
41,Beulah,3395
29,Beverford,3590
51,Beveridge,3753
71,Beveridge,3753
72,Big Desert,3490
42,Big Hill,3555
11,Big Hill,3231
55,Big Pats Creek,3799
67,Biggara,3707
56,Bimbourie,3533
28,Bindi,3896
12,Binginwarri,3966
9,Binginwarri,3966
28,Bingo Munjie,3898
56,Birchip,3483
56,Birchip West,3483
72,Birdwoodton,3505
23,Birregurra,3242
11,Birregurra,3242
45,Bittern,3918
7,Black Hill,3350
35,Black Range,3381
38,Black Range,3381
66,Black Rock,3193
59,Blackburn,3130
59,Blackburn North,3130
59,Blackburn South,3130
34,Blackheath,3401
12,Blackwarry,3844
54,Blackwood,3458
45,Blairgowrie,3942
54,Blakeville,3342
18,Blampied,3364
65,Blind Bight,3980
7,Blowhard,3352
24,Bo Peep,3351
7,Bo Peep,3351
39,Bobinawarrah,3678
58,Bochara,3301
1,Bogong,3699
37,Boho,3669
37,Boho South,3669
56,Boigbeat,3531
72,Boinka,3490
12,Boisdale,3860
38,Bolangum,3387
46,Bolinda,3432
29,Bolton,3546
19,Bolwarra,3305
54,Bolwarrah,3352
4,Bona Vista,3820
28,Bonang,3888
49,Bonbeach,3196
60,Bonegilla,3691
45,Boneo,3939
57,Bonn,3561
10,Bonnie Brook,3335
27,Bonnie Doon,3720
7,Bonshaw,3352
53,Bookaar,3260
9,Boolarong,3960
73,Boolarra,3870
73,Boolarra South,3870
28,Boole Poole,3880
41,Boolite,3392
20,Boomahnoomoonah,3728
11,Boonah,3235
53,Boorcan,3265
39,Boorhaman,3678
39,Boorhaman East,3678
39,Boorhaman North,3685
27,Boorolite,3723
9,Boorool,3953
32,Boort,3537
20,Boosey,3730
39,Boralma,3682
35,Bornes Hill,3379
63,Boronia,3155
32,Borung,3518
53,Bostocks Creek,3260
65,Botanic Ridge,3977
29,Boundary Bend,3599
8,Bowenvale,3465
40,Boweya,3675
39,Boweya,3675
20,Boweya North,3675
39,Bowmans Forest,3735
39,Bowser,3678
59,Box Hill,3128
59,Box Hill North,3129
59,Box Hill South,3128
40,Boxwood,3725
36,Boxwood,3725
62,Bradford,3463
53,Bradvale,3361
49,Braeside,3195
4,Brandy Creek,3821
58,Branxholme,3302
19,Branxholme,3302
4,Bravington,3821
74,Braybrook,3019
19,Breakaway Creek,3303
26,Breakwater,3219
11,Breamlea,3227
26,Breamlea,3227
32,Brenanah,3517
24,Brewster,3352
12,Briagolong,3860
68,Briar Hill,3088
27,Bridge Creek,3723
32,Bridgewater,3516
32,Bridgewater North,3516
32,Bridgewater On Loddon,3516
1,Bright,3741
66,Brighton,3186
69,Brighton East,3187
66,Brighton East,3187
41,Brim,3391
19,Brimboal,3312
15,Brimin,3685
34,Brimpaen,3401
33,Bringalbert,3319
58,Brit Brit,3315
51,Broadford,3658
28,Broadlands,3875
50,Broadmeadows,3047
16,Broadwater,3301
28,Brodribb River,3888
40,Broken Creek,3673
8,Bromley,3472
10,Brookfield,3338
22,Brooklyn,3012
13,Brooklyn,3012
28,Brookville,3896
18,Broomfield,3364
30,Broughton,3418
7,Brown Hill,3350
15,Browns Plains,3685
15,Bruarong,3749
53,Brucknell,3268
75,Brunswick,3056
75,Brunswick East,3057
75,Brunswick West,3055
28,Bruthen,3885
35,Buangor,3375
24,Buangor,3375
28,Buchan,3885
28,Buchan South,3885
1,Buckland,3740
11,Buckley,3240
58,Buckley Swamp,3301
56,Buckrabanyule,3525
32,Buckrabanyule,3525
73,Budgeree,3870
31,Budgerum East,3579
9,Buffalo,3958
1,Buffalo River,3737
58,Bulart,3314
28,Buldah,3890
29,Bulga,3586
38,Bulgana,3377
50,Bulla,3428
53,Bullaharre,3266
18,Bullarook,3352
54,Bullarook,3352
18,Bullarto,3461
54,Bullarto South,3461
18,Bullarto South,3461
76,Bulleen,3105
46,Bullengarook,3437
67,Bullioh,3700
28,Bullumwaal,3875
